Date,2YO,3YO,4YO,5YO
2019-05-16,,90931.6531091809,68341.4688732505,53071.08608584431
2019-05-17,107343.4278056784,,66838.84296754902,56075.03418701104
2019-05-18,,84289.88471902229,,
2019-05-19,,89901.49462107077,,
2019-05-20,,90193.5320433053,68614.42155206091,55815.52245180999
2019-05-21,,,66309.1209882589,54168.36022160329
2019-05-22,107824.75149167996,88228.46842087302,,
2019-05-23,,86481.05107279631,,
2019-05-24,,,68857.06675176404,
2019-05-25,,87864.63377835265,66168.25688189,55448.71051326758
2019-05-26,,,68490.76338598228,51986.11335717779
2019-05-27,108086.95323444104,87197.50952148082,,
2019-05-28,,84920.38084217964,,54996.72435695786
2019-05-29,,,69096.7553502943,
2019-05-30,,85798.15806984044,65835.0152580853,
2019-05-31,,,,53122.10892607016
2019-06-01,108151.0652593168,85467.04823732359,,54744.90349844244
2019-06-02,,83947.27866999584,68899.70112604341,
2019-06-04,,,65652.19030802754,
2019-06-05,,84299.20994433203,,50615.94779697608
2019-06-06,,84191.15588751213,68889.53501087762,54436.907217642816
2019-06-07,108348.33302816525,82871.67036655106,,
2019-06-08,,83677.18305833708,68529.18987687108,
2019-06-09,,,65556.0222707139,50118.41030283044
2019-06-10,,,,54163.77844032993
2019-06-11,,,,54106.50120225866
2019-06-12,108466.69368947433,83037.53671367446,,49327.930171944856
2019-06-13,,,68241.09272684924,
2019-06-14,,83371.45555171845,65297.10832410031,
2019-06-15,,,,53975.35304269951
2019-06-16,,,68291.37757353464,48984.65938846339
2019-06-17,108466.69368947433,82911.27068845971,,
2019-06-18,,,66624.95105981654,
2019-06-19,,,,51182.18536475276
2019-06-20,108448.6108106632,82291.7266103948,,
2019-06-21,,83637.38479678148,67575.66051068481,
2019-06-22,,,,53508.34376491568
2019-06-23,,,,53519.92877277036
2019-06-25,,83536.90423392139,,
2019-06-26,,,66965.47919966668,
2019-06-27,,,67180.51376132629,53251.58819759575
2019-06-30,,83764.17571855149,66653.66255968872,
2019-07-01,,,,52951.16415240184
2019-07-03,,,66257.6365941602,52824.735265095165
2019-07-04,,83718.39010791232,,
2019-07-05,,,,52519.19452587156
2019-07-06,,83416.21563206386,,
2019-07-08,,83528.20372525732,66115.09107910361,
2019-07-09,,,,52219.43085006185
2019-07-12,,,65924.02776450303,51585.03599495569
